File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/075/after.bvmc,0x0,0x0,"America01",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x1,0xa,"弾工房",,0x0,0x1 0x64 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x2,0x11,"mitygun",,0x0,0x1 0x6b 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x3,0x19,"マイティ",,0x0,0x1 0x6d 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x4,0x22,"マイティ注",,0x0,0x1 0x6f 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x5,0x2d,"カメラ１",,0x0,0x1 0x76 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x6,0x36,"ネストラ＿思案中",,0x0,0x1 0x89 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x7,0x47,"ネストラ",,0x0,0xe 0x90 0x96 0x9c 0xa8 0xae 0xb4 0xbb 0xc2 0xc9 0xe5 0xf3 0xfa 0x116 0x11d 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x8,0x50,"……なるほど……。",,0x0,0x1 0x92 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x9,0x63,"すべてがわかりました。",,0x0,0x1 0x98 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0xa,0x7a,"最強のはずだった複合銃士が、
なぜ思ったほどの力を
発揮しないのか。",,0x0,0x1 0x9e 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0xb,0xbf,"ネストラ＿微笑",,0x0,0x3 0xa3 0xe0 0x111 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0xc,0xce,"つまり、
こういうことでしょう。",,0x0,0x1 0xaa 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0xd,0xef,"機能を盛り込みすぎた。",,0x0,0x1 0xb0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0xe,0x106,"昔から、多芸は無芸といいます。",,0x0,0x0 0x1 0xb6,196,42,14
bvm_decmp/m/075/after.bvmc,0xf,0x125,"最強とは、何でもできること
ではない。",,0x0,0x0 0x1 0xbd,196,42,14
bvm_decmp/m/075/after.bvmc,0x10,0x14c,"たった１つでいい。
極限まで高められた機能を
持つこと。",,0x0,0x0 0x1 0xc4,196,42,14
bvm_decmp/m/075/after.bvmc,0x11,0x185,"それが重要なのだと思います。",,0x0,0x0 0x1 0xcb,196,42,14
bvm_decmp/m/075/after.bvmc,0x12,0x1a2,"ケイ＿基本姿勢Ｌ",,0x0,0x0 0x2 0xd1 0x102,196,42,14
bvm_decmp/m/075/after.bvmc,0x13,0x1b3,"ケイ",,0x0,0x0 0x2 0xd7 0x108,196,42,14
bvm_decmp/m/075/after.bvmc,0x14,0x1b8,"この人形、器用貧乏ってやつか。",,0x0,0x0 0x1 0xda,196,42,14
bvm_decmp/m/075/after.bvmc,0x15,0x1d7,"そうです。",,0x0,0x0 0x1 0xe7,196,42,14
bvm_decmp/m/075/after.bvmc,0x16,0x1e2,"ネストラ＿基本姿勢",,0x0,0x0 0x1 0xed,196,42,14
bvm_decmp/m/075/after.bvmc,0x17,0x1f5,"機能を増やしすぎると、コクピ
ットがゴチャゴチャになってし
まうこともわかりました。",,0x0,0x0 0x1 0xf5,196,42,14
bvm_decmp/m/075/after.bvmc,0x18,0x24a,"操縦が難しいのです。",,0x0,0x0 0x1 0xfc,196,42,14
bvm_decmp/m/075/after.bvmc,0x19,0x25f,"なるほどな。",,0x0,0x0 0x1 0x10b,196,42,14
bvm_decmp/m/075/after.bvmc,0x1a,0x26c,"複合銃士をお売りしますから、
ぜひ一度、
操縦してみてください。",,0x0,0x0 0x1 0x118,196,42,14
bvm_decmp/m/075/after.bvmc,0x1b,0x2ad,"扱いにくいとは思いますが……
もし使いこなせれば、
役に立つかもしれません。",,0x0,0x0 0x1 0x11f,196,42,14
bvm_decmp/m/075/after.bvmc,0x1c,0x2fa,"開始イベント終了",,0x0,0x0 0x1 0x133,196,42,14
bvm_decmp/m/075/after.bvmc,0x1d,0x30b,"Func00184EDC",,0x0,0x0 0x1 0x13a,196,42,14
bvm_decmp/m/075/after.bvmc,0x1e,0x318,"終了",,0x0,0x0 0x1 0x15f,196,42,14
bvm_decmp/m/075/after.bvmc,0x1f,0x31d,"friend1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x20,0x325,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x21,0x330,"TxWid",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x22,0x336,"TxHi",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x23,0x33b,"main",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/075/after.bvmc,0x24,0x340,"Func00184EDC",,0x0,0x0 0x0,196,42,14
