"File","Offset","Pointers","Japanese","English","width","height","lineheight","English","English","English","English"
"opb/PartsDesc.opb","0x159c","0x0","真鍮装甲","Brass Armor",102,14,14,"Brass Armour","Brass Armor","Brass Armor","&Brass Armor"
"opb/PartsDesc.opb","0x15a5","0x1 0x640","耐久力＋２０"," ・ Stamina +20",240,64,16,"Stamina +20","Stamina +20","Stamina +20","Stamina +20"
"opb/PartsDesc.opb","0x15b2","0x1 0x644","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","An accessory that reinforces a Puppet's frame. Metal is wrapped around the framework to enhance its durability.",240,64,16,"An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。"
"opb/PartsDesc.opb","0x15f1","0x1 0x650","青銅装甲","Bronze Armor",102,14,14,"Bronze Armour","Bronze Armor","Bronze Armor","&Bronze Armor"
"opb/PartsDesc.opb","0x15fa","0x1 0x654","耐久力＋4０"," ・ Stamina +40",240,64,16,"Stamina +40","Stamina +40","Stamina +40","Stamina +40"
"opb/PartsDesc.opb","0x1607","0x1 0x658","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","An accessory that reinforces a Puppet's frame. Metal is wrapped around the framework to enhance its durability.",240,64,16,"An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。"
"opb/PartsDesc.opb","0x1646","0x1 0x664","鋼鉄装甲","Steel Armor",102,14,14,"Steel Armour","Steel Armor","Steel Armor","&Steel Armor"
"opb/PartsDesc.opb","0x164f","0x1 0x668","耐久力＋８０"," ・ Stamina +80",240,64,16,"Stamina +80","Stamina +80","Satmina +80","Stamina +80"
"opb/PartsDesc.opb","0x165c","0x1 0x66c","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","An accessory that reinforces a Puppet's frame. Metal is wrapped around the framework to enhance its durability.",240,64,16,"An accessory that reinforces a mech's framework. Metal is wrapped around the framework to enhance it's durability.","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。","　人形の骨格を補強する部品。骨格を金
属で包み、強度を高める。"
"opb/PartsDesc.opb","0x169b","0x1 0x678","白銀装甲","Silver Armor",102,14,14,"Silver Armour","Silver Armor","White Silver Armor","&Silver Armor"
