File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/108/after.bvmc,0x1,0xa,Fortress01,,0x0,0x1 0x66 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x2,0x15,bigdawn,,0x0,0x1 0x71 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x3,0x1d,八工房会議,,0x0,0x1 0x74 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x4,0x28,カメラ１,,0x0,0x2 0x7a 0xd8 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x5,0x31,開始イベント終了,,0x0,0x1 0x88 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x6,0x42,Func001C3DF4,,0x0,0x1 0x8e 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x7,0x4f,終了,,0x0,0x1 0xb0 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x4,0x28,カメラ１,,0x0,0x2 0x7a 0xd8 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x8,0x54,ポー博士＿呆然,,0x0,0x1 0xed 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x9,0x63,ポー博士,,0x0,0x9 0xf2 0x2ed 0x46d 0x534 0x63c 0x72c 0x772 0x779 0x8c1 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xa,0x6c,なんという……。,So you're saying...?,0x0,0x1 0xf4 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xb,0x7d,ドラン＿大きな驚き,,0x0,0x2 0xf9 0x840 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xc,0x90,ドラン,,0x0,0x8 0xfe 0x144 0x24f 0x26e 0x384 0x45f 0x601 0x845 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xd,0x97,"もはや、
手に負える事態じゃない。",This is no longer a situation that we can manage.,0x0,0x1 0x100 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xe,0xba,コフー＿呆然,,0x0,0x1 0x105 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xf,0xc7,コフー,,0x0,0x10 0x10a 0x110 0x18d 0x229 0x27c 0x304 0x317 0x325 0x416 0x41d 0x881 0x888 0x88f 0x896 0x89d 0x8a4 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0x10,0xce,"確かに。
もはや八工房会議の
手には負えん。","That's true.
This isn't something the Eight Workshop's conference can handle.",0x0,0x1 0x10c 0x0,196,42,14
bvm_decmp/m/108/after.bvmc,0xf,0xc7,コフー,,0x0,0x10 0x10a 0x110 0x18d 0x229 0x27c 0x304 0x317 0x325 0x416 0x41d 0x881 0x888 0x88f 0x896 0x89d 0x8a4 0x0,196,42,14
