File,Number,Offset,Japanese,English,Centering,References,width,height,lineheight
bvm_decmp/m/S_GB/after.bvmc,0x0,0x0,"ガロイ工房",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1,0xb,"工房カウンター",,0x0,0x1 0x3d 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x2,0x1a,"ガロイ親方＿戦闘中真剣",,0x0,0x9 0x5f 0x8a 0xc4 0xff 0x10e 0x196 0x1be 0x23d 0x253 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x3,0x31,"は
人形に装備させるパーツだ。
乗り換え画面で人形に装備しろ。",,0x0,0x1 0x6e 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x4,0x70,"ガロイ親方",,0x0,0xe 0x7a 0xa5 0xed 0x104 0x14a 0x18c 0x19b 0x1ac 0x1da 0x222 0x232 0x242 0x26f 0x27e 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x5,0x7b,"を
使って人形を製造するんだな？",,0x0,0x1 0x99 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x6,0x9c,"残念だが",,0x0,0x1 0xcb 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x7,0xa5,"が
ないな。設計図は上巻と下巻の
２つがそろわないと使えないぞ。",,0x0,0x1 0xe1 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x8,0xe6,"資金が足りないな。
こいつを作るのは、もっと
金を貯めてからにするか。",,0x0,0x1 0x106 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x9,0x12d,"を使う。さらに、
",,0x0,0x0 0x1 0x11d,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xa,0x140,"Ｇの資金が必要だが、
それでも作るか？",,0x0,0x0 0x1 0x13d,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xb,0x167,"はい",,0x0,0x0 0x2 0x155 0x1e5,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xc,0x16c,"いいえ",,0x0,0x0 0x2 0x158 0x1e8,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xd,0x173,"ガロイ親方＿ひとはだ脱ぐぜ！",,0x0,0x0 0x3 0x16f 0x205 0x22c,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xe,0x190,"が
できたぞ。",,0x0,0x0 0x1 0x17f,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0xf,0x19f,"そうか。",,0x0,0x0 0x2 0x19d 0x244,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x10,0x1a8,"ガロイ親方＿ニヤリ",,0x0,0x0 0x1 0x1a6,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x11,0x1bb,"この人形は、
すでに持ってるじゃないか。
設計図はもう必要ないな。",,0x0,0x0 0x1 0x1ae,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x12,0x1fe,"を
使いたいのか？",,0x0,0x0 0x1 0x1cd,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x13,0x211,"が
入っていたぞ。",,0x0,0x0 0x1 0x215,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x14,0x224,"人形の整備が
すべて終わったぞ。",,0x0,0x0 0x1 0x234,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x15,0x245,"は
交換用のアイテムだ。
友達と交換するんだな。",,0x0,0x0 0x1 0x262,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x16,0x276,"ガロイ親方＿大きな驚き",,0x0,0x0 0x1 0x278,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x17,0x28d,"想定外の事態だ。
本間まで連絡してくれ。",,0x0,0x0 0x1 0x280,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x18,0x2b6,"sel",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x19,0x2ba,"i",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1a,0x2bc,"num",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1b,0x2c0,"str0",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1c,0x2c5,"str1",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1d,0x2ca,"item",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1e,0x2cf,"item2",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x1f,0x2d5,"kind",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x20,0x2da,"OnGameOver",,0x0,0x0 0x0,196,42,14
bvm_decmp/m/S_GB/after.bvmc,0x21,0x2e5,"main",,0x0,0x0 0x0,196,42,14
